accession,Plantheight,Earheight,Earleafwidth,Earleaflength,Tasselmainaxislength,Tasselbranchnumber
MODEM-150,199.406862,84.09240313,8.415551016,62.57602963,26.18701812,7.008392031
MODEM-177,167.7376926,62.32666383,8.336793644,75.8468716,26.86362604,8.25953511
MODEM-238,195.1777397,65.90031644,9.38907964,78.97464118,27.64054122,9.749416145
MODEM-268,160.7956655,52.69387703,8.844888078,70.42957469,28.36394677,6.981059882
MODEM-501,170.0178356,62.25478889,8.796211646,67.83068252,26.54872089,6.338754373
MODEM-647,143.4828657,68.96951963,6.518810979,65.55214977,25.94091108,17.84754152
MODEM-812,164.7820379,57.3004972,8.435240359,71.97071207,27.00737492,7.468018378
MODEM-1323,183.0386928,70.55827585,10.53762464,70.99257322,32.98852183,5.730474602
MODEM-1462,211.1751917,88.14599481,9.699733717,84.89124385,34.74483117,11.73294927
MODEM-3411,164.5772904,61.68519937,8.995292781,77.94873276,30.77355845,7.539416646
MODEM-4019,185.0797421,61.47476369,8.481182159,67.34616258,30.11428989,7.781501396
MODEM-5213,182.3275054,50.13497482,8.33023053,69.56176081,29.95021852,3.512805366
MODEM-5237,136.7789351,46.88735398,8.730580503,63.01960422,26.57482315,3.914002272
MODEM-5311,159.2033738,67.08613788,8.296053271,79.67559094,31.24422201,9.179053535
MODEM-7327,170.1279649,73.29647896,9.43502144,74.68902817,26.92906814,14.10694166
MODEM-7381,164.4017539,67.28376849,9.180959291,70.8066043,29.43421502,9.297792375
