Genotype;ID;chla;chlb ;chlab;carotenoids;ratioab
NIL_B;B10;0.96276583;0.212431302;1.175197133;0.253941173;4.532127893
NIL_B;B17;0.918818565;0.206357243;1.125175809;0.254932892;4.452562704
NIL_B;B1;0.79213532;0.196641837;0.988777157;0.208941718;4.028315288
NIL_B;B11;1.048197796;0.230682157;1.278879952;0.277777835;4.543904959
NIL_B;B14;0.86212987;0.204629149;1.066759019;0.224260966;4.213133251
NIL_B;B20;0.929966125;0.207784553;1.137750678;0.250032697;4.475626854
NIL_B;B5;0.952806268;0.216253561;1.169059829;0.24709019;4.405967986
NIL_B;B9;0.75367023;0.186763848;0.940434078;0.190257677;4.035418184
NIL_B;B12;1.068766226;0.23795284;1.306719066;0.284215744;4.491504387
NIL_B;B16;0.965832528;0.228683843;1.194516371;0.249556441;4.223440163
NIL_B;B3;1.029804652;0.237562105;1.267366757;0.265899578;4.334886042
NIL_B;B4;1.169900656;0.284046103;1.453946759;0.297942546;4.118699894
NIL_B;B6;0.785310065;0.178237806;0.963547871;0.209526563;4.405967986
NIL_B;B7;0.938465608;0.236620745;1.175086353;0.235746333;3.966117212
NIL_B;B13wdh;0.755135608;0.164036162;0.91917177;0.205905046;4.603470346
NIL_B;B15wdh;0.809332761;0.196325888;1.005658648;0.206954461;4.122394504
NIL_B;B8wdh;1.00507314;0.250451292;1.255524432;0.265891531;4.013048341
RP;RP11;0.980421941;0.223544304;1.203966245;0.269156037;4.385805965
RP;RP18;0.946937813;0.225782493;1.172720307;0.257152488;4.194026734
RP;RP2;0.770165746;0.187599754;0.9577655;0.20997682;4.105366492
RP;RP5;1.051523725;0.262381373;1.313905099;0.278473069;4.007615753
RP;RP7;0.992911468;0.247540107;1.240451575;0.263720289;4.011113511
RP;RP1;0.985046784;0.238883041;1.223929825;0.258897005;4.123552596
RP;RP13;0.784029181;0.204612795;0.988641975;0.205195482;3.831770062
RP;RP15;0.839970051;0.20197065;1.041940701;0.215202975;4.158871853
RP;RP16_24;0.857488708;0.209804276;1.067292984;0.227496344;4.087088811
RP;RP3_24;0.920559796;0.222917727;1.143477523;0.249014104;4.129594399
RP;RP10;0.868591453;0.216258689;1.084850142;0.221091823;4.016446484
RP;RP12;0.915919346;0.216906373;1.132825719;0.246002109;4.222648378
RP;RP17;0.899620785;0.212759536;1.112380321;0.236863872;4.228345311
RP;RP20;0.8605059;0.234280874;1.094786774;0.222225407;3.672966921
RP;RP6;0.885339212;0.206870076;1.092209289;0.23131384;4.279687171
RP;RP9;1.213184009;0.281621399;1.494805409;0.320192193;4.307854492
RP;RP14wdh;0.780380032;0.182428341;0.962808374;0.215013041;4.277734623
RP;RP19wdh;1.131224918;0.27214136;1.403366277;0.294090191;4.156754853
NIL_Y;Y19;0.812271098;0.186568915;0.998840013;0.225723038;4.35373223
NIL_Y;Y2;0.937657812;0.220571265;1.158229077;0.256397288;4.251042449
NIL_Y;Y8;0.776638013;0.192632919;0.969270933;0.221984552;4.031699336
NIL_Y;Y10;0.785277029;0.191590296;0.976867326;0.214877952;4.098730695
NIL_Y;Y11;0.806041403;0.228010139;1.034051542;0.228904747;3.535112099
NIL_Y;Y16;1.037385281;0.252242424;1.289627706;0.283082799;4.112651884
NIL_Y;Y4;1.192145353;0.293277428;1.485422781;0.315598053;4.064906596
NIL_Y;Y5;0.926176728;0.244146982;1.17032371;0.242085397;3.793521107
NIL_Y;Y9;0.934659722;0.224256944;1.158916667;0.251203903;4.167807265
NIL_Y;Y1;1.127302713;0.295923674;1.423226387;0.305408509;3.8094374
NIL_Y;Y12;0.989586243;0.238557672;1.228143915;0.263772779;4.148205485
NIL_Y;Y13;0.914032383;0.2282325;1.142264883;0.247295312;4.004830097
NIL_Y;Y14;0.700983672;0.202353644;0.903337316;0.194942529;3.464151463
NIL_Y;Y18;0.868214721;0.19841819;1.066632911;0.241660805;4.375681078
NIL_Y;Y20;0.835838546;0.217534505;1.053373051;0.22954796;3.842326284
NIL_Y;Y15wdh;0.925348907;0.237322552;1.162671459;0.240806368;3.899119154
NIL_Y;Y17wdh;0.9103337;0.230084342;1.140418042;0.25870846;3.956521739
NIL_Y;Y3;0.975536934;0.235859714;1.211396648;0.268941228;4.136089691
NIL_Y;Y6;0.863330094;0.214480078;1.077810172;0.231989828;4.025222776
NIL_Y;Y7wdh;0.814177898;0.188565439;1.002743336;0.227460322;4.317747213
